Question,Answer
What happens when radiation therapy is over?," Once you have finished radiation therapy, you will need follow-up care for the rest of your life. Follow-up care refers to regular check-ups once treatment is over. During these check-ups, your doctor or nurse will see how well the radiation therapy worked, check for signs of cancer, talk with you about your treatment and care, and look for late side effects. Late side effects are those that occur six or more months after you have completed radiation therapy. During these check-ups, your doctor or nurse will:  

•	Examine you and review how you have been feeling. Your doctor can prescribe medicine or suggest other ways to treat any side effects you may have. 
•	Order lab and imaging tests, which are tests that make pictures of areas inside the body. These tests may include blood tests, x-rays, or CT, MRI, or PET scans. 
•	Discuss treatment. Your doctor may suggest that you have more treatment, such as extra radiation treatments, chemotherapy, or other types of treatment. 
•	Answer your questions and respond to your concerns. It may be helpful to write down your questions ahead of time and bring them with you. You can find sample questions on pages 49 and 50. 
For more information about late side effects, visit the National Cancer Institute’s website at www.cancer.gov/about-cancer/coping/survivorship/late-effects."
"After I have finished radiation therapy, what symptoms should I look for?","
You have gone through a lot with cancer and radiation therapy. Now you may be even more aware of your body and how you feel each day. Pay attention to changes in your body. Tell your doctor or nurse if you have: 
•	a pain that does not go away
•	new lumps, bumps, swellings, rashes, bruises, or bleeding 
•	appetite changes, nausea, vomiting, diarrhea, or constipation 
•	weight loss that you cannot explain 
•	a fever, cough, or hoarseness that does not go away 
•	any other symptoms that worry you"
What is external beam radiation therapy?,"External beam radiation therapy comes from a machine that aims radiation
at your cancer. The machine is large and may be noisy. It does not touch
you, but it can move around you, sending radiation to your body from
many directions.
External beam radiation therapy is a local treatment, meaning that the
radiation treats a specific part of your body. For example, if you have lung
cancer, you will have radiation only to your chest, not to the rest of your body. "
How often will I have external beam radiation therapy?,"How often will I have external beam radiation therapy? Most people have external beam radiation therapy once a day, five days a week, Monday through Friday. Treatment lasts anywhere from 2 to 10 weeks, depending on the type of cancer you have and the goal of your treatment. This span of time is called a course of treatment. Radiation therapy may also be given on other schedules. These schedules include:

- accelerated fractionation, which is treatment given in larger daily or weekly doses to reduce the number of weeks of treatment 

- hyperfractionation, which is smaller doses of radiation given more than once a day 

- hypofractionation, which is larger doses given once a day (or less often) to reduce the number of treatments Your doctor may prescribe one of these treatment schedules if they feel that it will work better for you."
Where do I go for external beam radiation therapy?,"Most of the time, you will get external beam radiation therapy as an outpatient. This means that you will have treatment at a clinic or radiation therapy center and will not spend the night in the hospital."
What happens before I begin external beam radiation treatment?,"A radiation oncologist (a doctor who specializes in using radiation to treat cancer) and radiation therapist will define your treatment area. You may also hear the treatment area referred to as the treatment port or treatment field. These terms refer to the places in your body that will receive radiation. You will be asked to lie very still while x-rays or scans are taken. 
The radiation therapist will put small marks (either tattoos or dots of colored ink) on your skin to mark the treatment area. These marks are needed throughout your course of radiation therapy. 

The radiation therapist will use them each day to make sure you are in the correct position. Tattoos are about the size of a freckle and will remain on your skin for the rest of your life. Ink markings will fade over time. Be careful not to remove them and tell the radiation therapist if they have faded or lost color. A body mold may be made of the part of the body that is being treated. This is a plastic or plaster form that keeps you from moving during treatment. It also helps make sure that you are in the exact same position each day of treatment. You may be fitted for a mask if you are getting radiation to the head and neck area. The mask has air holes. It attaches to the table where you will lie for your treatments. The mask helps keep your head from moving so that you are in the exact same position for each treatment. If using the body mold or mask makes you feel anxious, see page 13 for ways to relax during treatment."
What should I wear for external beam radiation therapy?,"Wear clothes that are comfortable and made of soft fabric, such as fleece or cotton. Choose clothes that are easy to take off because you may need to pull them away from the treatment area or change into a hospital gown. Do not wear clothes that are tight, such as close-fitting collars or waistbands, near your treatment area. Also, do not wear jewelry, adhesive bandages, or powder in the treatment area."
What happens during a treatment session?,"• You may be asked to change into a hospital gown or robe. 
• You will go to the treatment room where you will receive radiation. 
• Depending on where your cancer is, you will either sit in a chair or lie down on a treatment table. The radiation therapist will use your skin marks and body mold or face mask, if you have one, to help you get into the correct position. 
• You may see colored lights pointed at your skin marks. These lights are harmless and help the therapist position you for treatment each day. 

• You will need to stay very still so the radiation goes to the exact same place each time. You will get radiation for one to five minutes. During this time, you can breathe normally and do not have to hold your breath. The radiation therapist will leave the room just before your treatment begins. They will go to a nearby room to control the radiation machine. The therapist can watch you on a TV screen or through a window and talk with you through a speaker in the treatment room. Be sure to tell the therapist if you feel sick or are uncomfortable. They can stop the radiation machine at any time. You won’t be able to feel, hear, see, or smell the radiation. Your entire visit may last from 30 minutes to an hour. Most of that time is spent placing you in the correct position. Certain types of radiation may take longer. Your visit may also take longer if your treatment team needs to take and review x-rays."
Will external beam radiation therapy make me radioactive?,"No, external beam radiation therapy does not make people radioactive. 
You may safely be around other people, even pregnant women, babies, and young children."
How can I relax during my treatment sessions?,"Bring something to keep you busy in the waiting room, such as a book or magazine, crossword puzzles, or knitting. 

Use headphones to listen to music or recorded books. 

Meditate, breathe deeply, pray, use imagery, or find other ways to relax. 
For relaxation exercises: • Visit Learning to Relax on the National Cancer Institute’s website at: www.cancer.gov/about-cancer/coping/feelings/relaxation • See Facing Forward: Life after Cancer Treatment at: www.cancer.gov/publications/patient-education/facing-forward"
What is internal radiation therapy?,"Internal radiation therapy is a form of treatment in which a source of radiation is put inside your body. One form of internal radiation therapy is called brachytherapy. In brachytherapy, a solid radiation source, such as seeds, ribbons, or capsules, is placed in your body in or near the cancer. 

Internal radiation can also be in liquid form. You receive liquid radiation by drinking it, swallowing a pill, or getting it through an IV line. Liquid radiation travels throughout your body, seeking out and killing cancer cells. 

Brachytherapy may be used to treat many types of cancers, such as cancers of the head and neck, breast, uterus, cervix, prostate, gallbladder, esophagus, eye, and lung. Liquid forms of internal radiation are most often used to treat thyroid cancer or non-Hodgkin lymphoma."
"What happens before I 
begin internal radiation therapy?","You will have a 1- to 2-hour meeting with your doctor or nurse to plan your treatment before you begin internal radiation therapy. At this time, you will have a physical exam, talk about your medical history, and may have imaging tests. Your doctor will discuss the type of internal radiation therapy that is best for you, its benefits and side effects, and ways you can care for yourself during and after treatment. You can then decide whether to have internal radiation therapy."
How is brachytherapy put in place?,"Most brachytherapy is put in place through a catheter, which is a small, stretchy tube. Sometimes, brachytherapy is put in place through a larger device called an applicator. Your doctor will place the catheter or applicator into your body before you begin treatment. Once the catheter or applicator is in place, the radiation source will be placed inside. The radiation source may be kept in place for a few minutes, for many days, or for the rest of your life. How long the radiation source remains in place depends on the type of brachytherapy you have, your type of cancer, where the cancer is in your body, your health, and other cancer treatments you have had."
What are the types of brachytherapy?,"There are three types of brachytherapy: 

Low-dose rate (LDR) implants. In this type of brachytherapy, the radiation source stays in place for one to seven days. You are likely to be in the hospital during this time. Once your treatment is finished, your doctor will remove the radiation source and the catheter or applicator. 

High-dose rate (HDR) implants. In this type of brachytherapy, the radiation source is left in place for just 10 to 20 minutes at a time and then taken out. You may have treatment twice a day for two to five days or once a week for two to five weeks. The schedule depends on your type of cancer. During the course of treatment, your catheter or applicator may stay in place, or it may be put in place before each treatment. You may be in the hospital during this time or you may make daily trips to the hospital. As with LDR implants, your doctor will remove the catheter or applicator once you have finished treatment. 

Permanent implants. After the radiation source is put in place, the catheter is removed. The implants always stay in your body, but the radiation gets weaker each day. As time goes on, almost all radiation will go away. When the radiation is first put in place, you may need to limit your time around other people. Be extra careful not to spend time with children or pregnant women."
"What happens while the 
radiation is in place?","With brachytherapy, your body fluids (urine, sweat, and saliva) will not give off radiation, but the radiation source will. With liquid radiation, your body fluids will give off radiation for a while. If the radiation you receive is a very high dose, safety measures may include: 
• Staying in a private hospital room to protect others from radiation coming from your body. 
• Being treated quickly by nurses and other hospital staff. They will provide all the care you need, but they may stand at a distance and talk with you from the doorway to your room. 

Your visitors will also need to follow safety measures, which may include: 
• not being allowed to visit when the radiation is first put in Î needing to check with the hospital staff before they go to your room 
• keeping visits short (30 minutes or less each day). The length of visits depends on the type of radiation being used and the part of your body being treated. 
• standing by the doorway rather than going into your hospital room Î not having visits from pregnant women and children younger than a year old You may also need to follow safety measures once you leave the hospital, such as not spending much time with other people. Your doctor or nurse will talk with you about any safety measures you should follow when you go home.

High-dose rate (HDR) implants. In this type of brachytherapy, the radiation source is left in place for just 10 to 20 minutes at a time and then taken out. You may have treatment twice a day for two to five days or once a week for two to five weeks. The schedule depends on your type of cancer. During the course of treatment, your catheter or applicator may stay in place, or it may be put in place before each treatment. You may be in the hospital during this time or you may make daily trips to the hospital. As with LDR implants, your doctor will remove the catheter or applicator once you have finished treatment. 

Permanent implants. After the radiation source is put in place, the catheter is removed. The implants always stay in your body, but the radiation gets weaker each day. As time goes on, almost all radiation will go away. When the radiation is first put in place, you may need to limit your time around other people. Be extra careful not to spend time with children or pregnant women."
"What happens when the 
catheter is taken out after treatment with LDR or HDR implants?","
• You will get medicine for pain before the catheter or applicator is removed. 
• The area where the catheter or applicator was might be tender for a few months. 
• There is no radiation in your body after the catheter or applicator is removed. It is safe for people to be near you—even young children and pregnant women. 
• For a week or two, you may need to limit activities that take a lot of effort. Ask your doctor what kinds of activities are safe for you and which ones you should avoid."
What is external beam therapy and how is it used?,"External beam therapy (EBT), also called external radiation therapy, is a method for delivering a beam or several beams of high-energy x-rays to a patient's tumor. Beams are generated outside the patient (usually by a linear accelerator, see below) and are targeted at the tumor site. These high energy x-rays can deposit their dose to the area of the tumor to destroy the cancer cells and, with careful treatment planning, spare the surrounding normal tissues. No radioactive sources are placed inside the patient's body.

External beam therapy is used to treat the following diseases as well as many others:

Breast Cancer Treatment, Colorectal (Bowel) Cancer Treatment, Esophageal Cancer Treatment, Head and Neck Cancer Treatment, Lung Cancer Treatment,
Prostate Cancer Treatment, Brain Tumor Treatment.
External beam therapy is most commonly used to treat cancer. Often, the goal is to eliminate a tumor or prevent a tumor from returning. The procedure may also be performed before or after surgery to remove a cancerous tumor, to reduce the tumor size before surgery, or to prevent the tumor from coming back after surgery.

EBT may also be used as a palliative treatment in patients with advanced stage cancer or cancer that has metastasized. In this case, the goal of therapy is to reduce a patient's symptoms rather than cure the cancer."
Who operates external beam radiotherapy equipments?,"The equipment is operated by a radiation therapist, a highly trained technologist. The overall treatment plan is created by the radiation oncologist, a highly trained physician specializing in treating cancer with radiotherapy."
Is there any special preparation needed for external beam therapy procedure?,"The process of external beam therapy involves three parts:

Simulation, Treatment Planning, Treatment Delivery.
The goal of simulation is to determine the treatment position that will be used daily, to make devices that will help the patient maintain that position, and to obtain the necessary images for treatment planning. The radiation therapist places the patient in the treatment position on a CT scanner. Masks, pads or other immobilization devices are typically used to help the patient to hold still and in a specific position during the simulation. These devices will be used for the treatment to achieve the same position daily, so it is important that the patient can maintain that position. Images of the treatment area are taken in the treatment position. The radiation therapist places small marks on the patients to help guide the daily treatments. These marks may be tattoos or colored ink. The tattoos will be permanent, but the colored ink will eventually fade. Marker seeds may be placed in the target tumor or organ at simulation or during a separate surgical procedure. These seeds or markings are intended to help the radiation therapist position the patient during each treatment session.

For treatment planning, the dosimetrist, medical physicist and radiation oncologist use a special computer program to calculate the radiation dose that will be delivered to the patient's tumor and the surrounding normal tissue. The radiation oncologist will determine the volume of the tumor and other areas that need to be treated and outline those on the treatment planning images. He or she will also outline normal structures that should be avoided or considered in devising the treatment plan. Together, the oncologist, dosimetrist and physicist will generate a treatment plan that delivers the appropriate dose to the tumor while minimizing dose to surrounding normal tissues. In certain cases, this process may employ such techniques as three-dimensional conformal therapy, intensity-modulated radiation therapy (IMRT), or volumetric modulated arc therapy (VMAT). This planning is based on CT, MRI and PET/CT scans which may be done in the radiology department or the radiation oncology department.

After the simulation and planning have been completed, the treatment can begin."
How is external beam therapy procedure performed?,"Before each treatment session, the patient may be asked to change into a gown. The radiation therapist brings the patient into the treatment room and places him/her on the treatment couch of the linear accelerator in exactly the same position that was used for simulation using the same immobilization devices. The therapist carefully positions the patient using the alignment lasers and the marks that had been placed on the patient during simulation. Some form of imaging is often used prior to the treatment delivery to verify the accuracy of the patient setup. Some of the types of imaging that can be used include x-rays, ultrasound and cone beam CT. The therapist goes outside the room and turns on the linear accelerator from outside. Beams from one or more directions may be used and the beam may be on for as long as several minutes for each field.

The treatment process can take one hour or less each day and most of the time is often spent positioning and imaging the patient. The first treatment usually takes the longest; subsequent treatments take between 15 and 30 minutes. The actual treatment may last only several minutes. The duration of a patient's treatment depends on the method of treatment delivery, such as IMRT, and the dose given. The length of each treatment will usually be the same from day to day.

Patients usually receive radiation treatments once a day, five days a week for a total of two to nine weeks. The patient's diagnosis determines the total duration of treatment. Occasionally, treatments are given twice a day."
What will I feel during external beam therapy procedure?,"External beam therapy is painless but patients will hear buzzing or clicking noises during treatment. The linear accelerator may rotate or move during treatment. Patients feel nothing out of the ordinary, but may sometimes smell an odd smell during treatment that is caused by the ozone produced by the linear accelerator. Some patients may also see a colored light when they receive their treatment; this event is especially true for patients having their brain or eye treated.

Your doctor may recommend a series of follow-up exams after treatment. These may include a physical check-up, imaging exam(s), and blood or other lab tests.

These visits help your doctor see if your condition is stable or has changed. They also allow you to discuss any treatment side effects with your doctor."
What kind of treatment follow-up should I expect after external beam therapy?,"Once treatment is complete, patients are asked to return for follow-up visits. During these appointments, patients will undergo evaluation, including imaging exams or blood tests, to determine if their cancer has been eliminated or if additional treatment is required. Even if the cancer has been cured, patients can expect to continue periodic visits to follow-up with their doctor."
What is MR LINAC used for?,"Doctors use MR LINAC to treat patients with cancer. It delivers high-energy x-rays to the region of the patient’s tumor. Doctors and physicists can design these treatments in such a way that the radiation destroys the cancer cells while sparing the surrounding normal tissue.

The MR LINAC uses continuous MRI to see the soft tissue and organs moving. This allows doctors to track the tumor motion and then compensate for these movements during treatment. This is useful for tumors in the lung, prostate, bowel, and bladder that may change position often.

MRI does a better job at showing soft tissues than x-rays or other imaging. Treatment is safer with potentially fewer side effects and allows a higher dose to reach the target. This minimizes the chance of damage to healthy organs near the tumor.

The MR LINAC has advanced software that allows your doctors to adapt your radiation treatment plan based on what they see each day."
How does the MR LINAC equipment work?,"MR LINAC is a significant technological leap in cancer treatment. It combines the imaging power of MRI with a linear accelerator to deliver treatment. To avoid interference, the treatment team splits the magnetic field of the MR LINAC to make space for the linear accelerator. This allows radiation to pass through the gap. MRI can then create images without distortion.

Magnetic resonance imaging, or MRI, obtains detailed images of organs and tissues throughout the body without the need for x-rays. Instead, MRI uses a powerful magnetic field, radio waves, rapidly changing magnetic fields, and a computer to create images. These images can show whether there is an injury, disease process, or abnormal condition present.

For the MRI exam, the patient lies inside the MR system or scanner—typically a large donut-shaped device that is open on both ends. The powerful magnetic field aligns atomic particles called protons that exist in body tissues that contain water. The applied radio waves then interact with these protons to produce signals that a receiver picks up within the MR scanner. The signals are specially characterized using the rapidly changing magnetic fields. Computer processing creates cross-sectional images of tissues as “slices” that the radiologist can view in any orientation.

An MRI exam causes no pain. The electromagnetic fields produce no known tissue damage of any kind. The MR system may make loud tapping, knocking, or other noises at times during the procedure. The radiation therapist will provide earplugs to prevent problems that may be associated with noise generated by the scanner. At all times, staff will monitor you. You will be able to communicate with the radiation therapist using an intercom system or by other means.

The linear accelerator uses microwave technology (like that used for radar) to accelerate electrons in a part of the accelerator called the “wave guide.” The electrons then collide with a heavy metal target to produce high-energy x-rays. The MR LINAC shapes these high energy x-rays as they exit the machine to conform to the shape of the patient’s tumor. The customized beam is directed to the patient’s tumor. The beam is usually shaped by a multileaf collimator that is incorporated into the head of the machine. The patient lies on a moveable treatment couch. The radiation therapist uses lasers to make sure the patient is in the proper position. The treatment couch can move in many directions including up, down, right, left, in and out. The beam comes out of a part of the accelerator called a gantry, which can rotate around the patient. The machine can deliver radiation to the tumor from many angles by rotating the gantry and moving the treatment couch."
Who operates the MR LINAC?,Your radiation oncologist prescribes the proper treatment volume and dosage. The medical physicist and the dosimetrist figure out how to deliver the prescribed dose. They also figure the amount of time it will take the accelerator to deliver that dose. Radiation therapists run the MRI scanner and the linear accelerator and give patients their daily treatments.
How is safety of MR LINAC ensured?,"The MR-LINAC is an FDA-cleared device. It has built-in safety measures to ensure that it will deliver the dose as prescribed. Medical physicists routinely check it to ensure it is working properly. The powerful magnetic field of the MR system can attract objects made from certain metals. This may cause them to move suddenly and with great force. Therefore, great care is taken to ensure that no one brings outside objects such as ferromagnetic screwdrivers and oxygen tanks into the MR system room. All MRI facilities have screening procedures and protocols to identify any potential hazards. These steps ensure that the MRI technologist and radiologist know about the presence of any metallic objects. They can then take precautions as needed.

Some MRI exams involve the use of a contrast material known as gadolinium. It helps improve the information seen on the MR images. Unlike the contrast materials used in x-ray exams or computed tomography (CT) scans, a gadolinium contrast agent does not contain iodine. Therefore, it rarely causes an allergic reaction or other problem.

Before receiving a gadolinium contrast agent, tell the MRI technologist and/or radiologist if you have a history of:
kidney disease, kidney failure, kidney transplant, liver disease related conditions.

Before treatment, the radiation oncologist develops a plan. The radiation dosimetrist and medical physicist help with the plan. The treatment team performs quality-assurance procedures to ensure that they deliver the treatment as planned.

Quality assurance of the linear accelerator is crucial. The accelerator has several systems built in so that it will not deliver a higher dose than prescribed. Each morning before any patient undergoes treatment, the radiation therapist checks the machine. This ensures that the radiation intensity is uniform across the beam and that it is working properly. In addition, the medical physicist conducts more detailed monthly and annual checks of the accelerator.

Modern linear accelerators also have internal checking systems. These systems do not allow the machine to be turned on unless all the prescribed treatment requirements are met.

During treatment, the radiation therapist observes the patient on a closed-circuit television monitor. There is also a microphone in the treatment room so that the patient can speak with staff if needed.

Safety of the staff operating the linear accelerator is also important. The linear accelerator sits in a room with lead and concrete walls. This shields the high-energy x-rays. This means that no one outside of the room is exposed to the x-rays. The radiation therapist must turn on the accelerator from outside the treatment room. Because the accelerator only emits radiation when it is turned on, the risk of accidental exposure is extremely low."
What is Gamma Knife equipment used for?,"The Gamma Knife® and its associated computerized treatment planning software enable physicians to locate and irradiate relatively small targets in the head (mostly inside the brain) with extremely high precision. Intense doses of radiation can be given to the targeted area(s) while largely sparing the surrounding tissues. The Gamma Knife® can be used for a wide variety of problems. For example, it can be used to treat selected malignant tumors that arise in or spread to the brain (primary brain tumors or metastatic tumors), benign brain tumors (meningiomas, pituitary adenomas, acoustic neuromas), blood vessel defects (arteriovenous malformations) and functional problems (trigeminal neuralgia). Possible future uses are being evaluated for epilepsy and Parkinson's disease.

Single-session Gamma Knife® treatment is usually unsuitable for targets larger than three or four centimeters in size."
"How does the Gamma Knife equipment work?
","The Gamma Knife® utilizes a technique called stereotactic radiosurgery, which uses multiple beams of radiation converging in three dimensions to focus precisely on a small volume, such as a tumor, permitting intense doses of radiation to be delivered to that volume safely. Currently, the available models use advanced robotic technology to move the patient in submillimeter increments during treatment to focus radiation successfully on all parts of the target.

Treatments using Perfexion
Most treatments are given in a single session. Under local anesthesia, a special rigid head frame incorporating a three-dimensional coordinate system is attached to the patient's skull with four screws. Imaging studies, such as magnetic resonance imaging (MRI), computed tomography (CT), or angiography, are then obtained and the results are sent to the Gamma Knife®'s planning computer system. Together, physicians (radiation oncologists and neurosurgeons) and medical physicists delineate targets and normal anatomical structures. They use a planning computer program to determine the exact spatial relationship between the target, normal structures and the head frame to calculate Gamma Knife® treatment parameters. Targets often are best treated during the treatment session with combinations of several successive highly focused treatments, commonly known as ""shots."" The physicians and physicists routinely consider numerous fine-tuning adjustments of treatment parameters until an optimal plan and dose are determined.

Using the three-dimensional coordinates determined in the planning process, the frame is then precisely attached to the Gamma Knife® unit to guarantee that when the unit is activated, the target is placed exactly in the center of approximately 200 precision-aimed, converging beams of (Cobalt-60 generated) gamma radiation. Treatment takes anywhere from several minutes to a few hours to complete depending on the shape and size of the target, the number of ""shots"" and the dose required. Patients do not feel the radiation treatment as it is delivered, although they may experience seeing flashes of light while the treatment is being delivered. Following treatment the head frame is removed and the patient may return to normal activity.

Treatments using Icon
Icon treatments differ from Perfexion treatments in that:

Treatments are given in single or multiple sessions.
An external frame is not required.
Icon uses a combination of onboard stereotactic Cone Beam CT imaging and real-time infrared motion detection and management to achieve 0.15 mm treatment accuracy even without a rigid frame."
Who operates the Gamma Knife equipment?,"A multidisciplinary team approach provides patients with the greatest safety. The team is most commonly comprised of a radiation oncologist, a medical physicist and a neurosurgeon—all specially trained in the use of the Gamma Knife®—with support from nursing staff, anesthesiologists (for patients who are unable to cooperate, such as children) and radiation therapists, who work together to provide patients with the high-quality care they deserve. It is a requirement of the Nuclear Regulatory Commission that an ""authorized user,"" usually a radiation oncologist, be at the treatment console during the entire procedure"
How is safety ensured for Gamma Knife?,"Because placement accuracy of the shots is critical to localization of the radiation (to a fraction of a millimeter), anything that would degrade this precision is unacceptable. Rigid attachment of the head frame, geographic targeting accuracy of the imaging studies, shaping of the volume of tissue to be treated (selection of the number, size and relative intensity of the shots) and accuracy of attachment of the frame to the Gamma Knife® unit are all critical. As is true of all radiation therapy procedures, correct selection and calculation of the amount of radiation to deliver are essential. A qualified medical physicist assures that the imaging and treatment planning computers and software are correct and acceptable. The mechanical functions of the machine are tested on a regular basis to ensure the safety of patients and medical staff."
